f1_v2_contig	f1_v2_genbank_contig
HG02257#2#h2tg000102l	JAGYVH010000102
HG02257#2#h2tg000103l	JAGYVH010000103
HG02257#2#h2tg000104l	JAGYVH010000104
HG02257#2#h2tg000105l	JAGYVH010000105
HG02257#2#h2tg000106l	JAGYVH010000106
HG02257#2#h2tg000107l	JAGYVH010000107
HG02257#2#h2tg000108l	JAGYVH010000108
HG02257#2#h2tg000109l	JAGYVH010000109
HG02257#2#h2tg000110c	JAGYVH010000110
HG02257#2#h2tg000111l	JAGYVH010000111
HG02257#2#h2tg000112l	JAGYVH010000112
HG02257#2#h2tg000113l	JAGYVH010000113
HG02257#2#h2tg000114l	JAGYVH010000114
HG02257#2#h2tg000115l	JAGYVH010000115
HG02257#2#h2tg000116l	JAGYVH010000116
HG02257#2#h2tg000117l	JAGYVH010000117
HG02257#2#h2tg000118l	JAGYVH010000118
HG02257#2#h2tg000119l	JAGYVH010000119
HG02257#2#h2tg000120l	JAGYVH010000120
HG02257#2#h2tg000121l	JAGYVH010000121
HG02257#2#h2tg000122l	JAGYVH010000122
HG02257#2#h2tg000123l	JAGYVH010000123
HG02257#2#h2tg000124l	JAGYVH010000124
HG02257#2#h2tg000125l	JAGYVH010000125
HG02257#2#h2tg000126l	JAGYVH010000126
HG02257#2#h2tg000127l	JAGYVH010000127
HG02257#2#h2tg000128l	JAGYVH010000128
HG02257#2#h2tg000129l	JAGYVH010000129
HG02257#2#h2tg000130l	JAGYVH010000130
HG02257#2#h2tg000131l	JAGYVH010000131
HG02257#2#h2tg000133l	JAGYVH010000132
HG02257#2#h2tg000134l	JAGYVH010000133
HG02257#2#h2tg000135l	JAGYVH010000134
HG02257#2#h2tg000136l	JAGYVH010000135
HG02257#2#h2tg000137l	JAGYVH010000136
HG02257#2#h2tg000139l	JAGYVH010000137
HG02257#2#h2tg000140l	JAGYVH010000138
HG02257#2#h2tg000141l	JAGYVH010000139
HG02257#2#h2tg000142l	JAGYVH010000140
HG02257#2#h2tg000143l	JAGYVH010000141
HG02257#2#h2tg000144l	JAGYVH010000142
HG02257#2#h2tg000145l	JAGYVH010000143
HG02257#2#h2tg000146l	JAGYVH010000144
HG02257#2#h2tg000147l	JAGYVH010000145
HG02257#2#h2tg000149l	JAGYVH010000146
HG02257#2#h2tg000150l	JAGYVH010000147
HG02257#2#h2tg000151l	JAGYVH010000148
HG02257#2#h2tg000152l	JAGYVH010000149
HG02257#2#h2tg000153l	JAGYVH010000150
HG02257#2#h2tg000154l	JAGYVH010000151
HG02257#2#h2tg000155l	JAGYVH010000152
HG02257#2#h2tg000156l	JAGYVH010000153
HG02257#2#h2tg000157l	JAGYVH010000154
HG02257#2#h2tg000158l	JAGYVH010000155
HG02257#2#h2tg000159l	JAGYVH010000156
HG02257#2#h2tg000160l	JAGYVH010000157
HG02257#2#h2tg000161l	JAGYVH010000158
HG02257#2#h2tg000162l	JAGYVH010000159
HG02257#2#h2tg000163l	JAGYVH010000160
HG02257#2#h2tg000164l	JAGYVH010000161
HG02257#2#h2tg000165l	JAGYVH010000162
HG02257#2#h2tg000167l	JAGYVH010000163
HG02257#2#h2tg000168c	JAGYVH010000164
HG02257#2#h2tg000169c	JAGYVH010000165
HG02257#2#h2tg000170l	JAGYVH010000166
HG02257#2#h2tg000171l	JAGYVH010000167
HG02257#2#h2tg000172l	JAGYVH010000168
HG02257#2#h2tg000174l	JAGYVH010000169
HG02257#2#h2tg000175l	JAGYVH010000170
HG02257#2#h2tg000176l	JAGYVH010000171
HG02257#2#h2tg000177l	JAGYVH010000172
HG02257#2#h2tg000178l	JAGYVH010000173
HG02257#2#h2tg000179l	JAGYVH010000174
HG02257#2#h2tg000180l	JAGYVH010000175
HG02257#2#h2tg000181l	JAGYVH010000176
HG02257#2#h2tg000182l	JAGYVH010000177
HG02257#2#h2tg000183l	JAGYVH010000178
HG02257#2#h2tg000184l	JAGYVH010000179
HG02257#2#h2tg000185l	JAGYVH010000180
HG02257#2#h2tg000186l	JAGYVH010000181
HG02257#2#h2tg000187l	JAGYVH010000182
HG02257#2#h2tg000188l	JAGYVH010000183
HG02257#2#h2tg000189l	JAGYVH010000184
HG02257#2#h2tg000190l	JAGYVH010000185
HG02257#2#h2tg000191l	JAGYVH010000186
HG02257#2#h2tg000192l	JAGYVH010000187
HG02257#2#h2tg000193l	JAGYVH010000188
HG02257#2#h2tg000194l	JAGYVH010000189
HG02257#2#h2tg000195l	JAGYVH010000190
HG02257#2#h2tg000196l	JAGYVH010000191
HG02257#2#h2tg000197l	JAGYVH010000192
HG02257#2#h2tg000199c	JAGYVH010000193
HG02257#2#h2tg000200l	JAGYVH010000194
HG02257#2#h2tg000202l	JAGYVH010000195
HG02257#2#h2tg000203l	JAGYVH010000196
HG02257#2#h2tg000204l	JAGYVH010000197
HG02257#2#h2tg000205l	JAGYVH010000198
HG02257#2#h2tg000206l	JAGYVH010000199
HG02257#2#h2tg000207l	JAGYVH010000200
HG02257#2#h2tg000209l	JAGYVH010000201
HG02257#2#h2tg000210l	JAGYVH010000202
HG02257#2#h2tg000211l	JAGYVH010000203
HG02257#2#h2tg000212l	JAGYVH010000204
HG02257#2#h2tg000213l	JAGYVH010000205
HG02257#2#h2tg000214l	JAGYVH010000206
HG02257#2#h2tg000215l	JAGYVH010000207
HG02257#2#h2tg000217l	JAGYVH010000208
HG02257#2#h2tg000218l	JAGYVH010000209
HG02257#2#h2tg000219l	JAGYVH010000210
HG02257#2#h2tg000220l	JAGYVH010000211
HG02257#2#h2tg000222l	JAGYVH010000212
HG02257#2#h2tg000223l	JAGYVH010000213
HG02257#2#h2tg000224l	JAGYVH010000214
HG02257#2#h2tg000225l	JAGYVH010000215
HG02257#2#h2tg000226l	JAGYVH010000216
HG02257#2#h2tg000227l	JAGYVH010000217
HG02257#2#h2tg000229l	JAGYVH010000218
HG02257#2#h2tg000230l	JAGYVH010000219
HG02257#2#h2tg000231l	JAGYVH010000220
HG02257#2#h2tg000233l	JAGYVH010000221
HG02257#2#h2tg000234l	JAGYVH010000222
HG02257#2#h2tg000235l	JAGYVH010000223
HG02257#2#h2tg000236l	JAGYVH010000224
HG02257#2#h2tg000237l	JAGYVH010000225
HG02257#2#h2tg000238l	JAGYVH010000226
HG02257#2#h2tg000239l	JAGYVH010000227
HG02257#2#h2tg000240l	JAGYVH010000228
HG02257#2#h2tg000242l	JAGYVH010000229
HG02257#2#h2tg000244l	JAGYVH010000230
HG02257#2#h2tg000245l	JAGYVH010000231
HG02257#2#h2tg000246l	JAGYVH010000232
HG02257#2#h2tg000248l	JAGYVH010000233
HG02257#2#h2tg000250l	JAGYVH010000234
HG02257#2#h2tg000251l	JAGYVH010000235
HG02257#2#h2tg000252l	JAGYVH010000236
HG02257#2#h2tg000254l	JAGYVH010000237
HG02257#2#h2tg000257l	JAGYVH010000238
HG02257#2#h2tg000258l	JAGYVH010000239
HG02257#2#h2tg000260l	JAGYVH010000240
HG02257#2#h2tg000261l	JAGYVH010000241
HG02257#2#h2tg000262l	JAGYVH010000242
HG02257#2#h2tg000263l	JAGYVH010000243
HG02257#2#h2tg000265l	JAGYVH010000244
HG02257#2#h2tg000267l	JAGYVH010000245
HG02257#2#h2tg000268l	JAGYVH010000246
HG02257#2#h2tg000269l	JAGYVH010000247
HG02257#2#h2tg000270l	JAGYVH010000248
HG02257#2#h2tg000271l	JAGYVH010000249
HG02257#2#h2tg000273l	JAGYVH010000250
HG02257#2#h2tg000277l	JAGYVH010000251
HG02257#2#h2tg000278l	JAGYVH010000252
HG02257#2#h2tg000279c	JAGYVH010000253
HG02257#2#h2tg000281l	JAGYVH010000254
HG02257#2#h2tg000283l	JAGYVH010000255
HG02257#2#h2tg000285l	JAGYVH010000256
HG02257#2#h2tg000287l	JAGYVH010000257
HG02257#2#h2tg000288l	JAGYVH010000258
HG02257#2#h2tg000289l	JAGYVH010000259
HG02257#2#h2tg000290l	JAGYVH010000260
HG02257#2#h2tg000292l	JAGYVH010000261
HG02257#2#h2tg000293l	JAGYVH010000262
HG02257#2#h2tg000294l	JAGYVH010000263
HG02257#2#h2tg000295l	JAGYVH010000264
HG02257#2#h2tg000296l	JAGYVH010000265
HG02257#2#h2tg000297l	JAGYVH010000266
HG02257#2#h2tg000298l	JAGYVH010000267
HG02257#2#h2tg000299l	JAGYVH010000268
HG02257#2#h2tg000300l	JAGYVH010000269
HG02257#2#h2tg000301l	JAGYVH010000270
HG02257#2#h2tg000302l	JAGYVH010000271
HG02257#2#h2tg000303l	JAGYVH010000272
HG02257#2#h2tg000305l	JAGYVH010000273
HG02257#2#h2tg000306l	JAGYVH010000274
HG02257#2#h2tg000307l	JAGYVH010000275
HG02257#2#h2tg000308l	JAGYVH010000276
HG02257#2#h2tg000309l	JAGYVH010000277
HG02257#2#h2tg000311l	JAGYVH010000278
HG02257#2#h2tg000312l	JAGYVH010000279
HG02257#2#h2tg000313l	JAGYVH010000280
HG02257#2#h2tg000314l	JAGYVH010000281
HG02257#2#h2tg000315l	JAGYVH010000282
HG02257#2#h2tg000316l	JAGYVH010000283
HG02257#2#h2tg000317l	JAGYVH010000284
HG02257#2#h2tg000318l	JAGYVH010000285
HG02257#2#h2tg000319l	JAGYVH010000286
HG02257#2#h2tg000320l	JAGYVH010000287
HG02257#2#h2tg000321l	JAGYVH010000288
HG02257#2#h2tg000322l	JAGYVH010000289
HG02257#2#h2tg000323l	JAGYVH010000290
HG02257#2#h2tg000324l	JAGYVH010000291
HG02257#2#MT	JAGYVH010000292
HG02257#1#h1tg000001l	JAGYVI010000001
HG02257#1#h1tg000002l	JAGYVI010000002
HG02257#1#h1tg000003l	JAGYVI010000003
HG02257#1#h1tg000004l	JAGYVI010000004
HG02257#1#h1tg000005l	JAGYVI010000005
HG02257#1#h1tg000006l	JAGYVI010000006
HG02257#1#h1tg000007l	JAGYVI010000007
HG02257#1#h1tg000008l	JAGYVI010000008
HG02257#1#h1tg000009l	JAGYVI010000009
HG02257#1#h1tg000010l	JAGYVI010000010
HG02257#1#h1tg000011l	JAGYVI010000011
HG02257#1#h1tg000012l	JAGYVI010000012
HG02257#1#h1tg000013l	JAGYVI010000013
HG02257#1#h1tg000014l	JAGYVI010000014
HG02257#1#h1tg000015l	JAGYVI010000015
HG02257#1#h1tg000016l	JAGYVI010000016
HG02257#1#h1tg000017l	JAGYVI010000017
HG02257#1#h1tg000018l	JAGYVI010000018
HG02257#1#h1tg000019l	JAGYVI010000019
HG02257#1#h1tg000020l	JAGYVI010000020
HG02257#1#h1tg000021l	JAGYVI010000021
HG02257#1#h1tg000022l	JAGYVI010000022
HG02257#1#h1tg000023l	JAGYVI010000023
HG02257#1#h1tg000024l	JAGYVI010000024
HG02257#1#h1tg000025l	JAGYVI010000025
HG02257#1#h1tg000026l	JAGYVI010000026
HG02257#1#h1tg000027l	JAGYVI010000027
HG02257#1#h1tg000028l	JAGYVI010000028
HG02257#1#h1tg000029l	JAGYVI010000029
HG02257#1#h1tg000030l	JAGYVI010000030
HG02257#1#h1tg000031l	JAGYVI010000031
HG02257#1#h1tg000032l	JAGYVI010000032
HG02257#1#h1tg000033l	JAGYVI010000033
HG02257#1#h1tg000034l	JAGYVI010000034
HG02257#1#h1tg000035l	JAGYVI010000035
HG02257#1#h1tg000036l	JAGYVI010000036
HG02257#1#h1tg000037l	JAGYVI010000037
HG02257#1#h1tg000038l	JAGYVI010000038
HG02257#1#h1tg000039l	JAGYVI010000039
HG02257#1#h1tg000040l	JAGYVI010000040
HG02257#1#h1tg000041l	JAGYVI010000041
HG02257#1#h1tg000042l	JAGYVI010000042
HG02257#1#h1tg000043l	JAGYVI010000043
HG02257#1#h1tg000044l	JAGYVI010000044
HG02257#1#h1tg000045l	JAGYVI010000045
HG02257#1#h1tg000046l	JAGYVI010000046
HG02257#1#h1tg000047l	JAGYVI010000047
HG02257#1#h1tg000048l	JAGYVI010000048
HG02257#1#h1tg000049l	JAGYVI010000049
HG02257#1#h1tg000050l	JAGYVI010000050
HG02257#1#h1tg000051l	JAGYVI010000051
HG02257#1#h1tg000052l	JAGYVI010000052
HG02257#1#h1tg000053l	JAGYVI010000053
HG02257#1#h1tg000054l	JAGYVI010000054
HG02257#1#h1tg000055l	JAGYVI010000055
HG02257#1#h1tg000056l	JAGYVI010000056
HG02257#1#h1tg000057l	JAGYVI010000057
HG02257#1#h1tg000058l	JAGYVI010000058
HG02257#1#h1tg000059l	JAGYVI010000059
HG02257#1#h1tg000060l	JAGYVI010000060
HG02257#1#h1tg000061l	JAGYVI010000061
HG02257#1#h1tg000062l	JAGYVI010000062
HG02257#1#h1tg000063l	JAGYVI010000063
HG02257#1#h1tg000064l	JAGYVI010000064
HG02257#1#h1tg000065l	JAGYVI010000065
HG02257#1#h1tg000066l	JAGYVI010000066
HG02257#1#h1tg000067l	JAGYVI010000067
HG02257#1#h1tg000068l	JAGYVI010000068
HG02257#1#h1tg000069l	JAGYVI010000069
HG02257#1#h1tg000070l	JAGYVI010000070
HG02257#1#h1tg000071l	JAGYVI010000071
HG02257#1#h1tg000072l	JAGYVI010000072
HG02257#1#h1tg000073l	JAGYVI010000073
HG02257#1#h1tg000074l	JAGYVI010000074
HG02257#1#h1tg000075l	JAGYVI010000075
HG02257#1#h1tg000076l	JAGYVI010000076
HG02257#1#h1tg000077l	JAGYVI010000077
HG02257#1#h1tg000078l	JAGYVI010000078
HG02257#1#h1tg000079l	JAGYVI010000079
HG02257#1#h1tg000080l	JAGYVI010000080
HG02257#1#h1tg000081l	JAGYVI010000081
HG02257#1#h1tg000082l	JAGYVI010000082
HG02257#1#h1tg000083l	JAGYVI010000083
HG02257#1#h1tg000084l	JAGYVI010000084
HG02257#1#h1tg000085l	JAGYVI010000085
HG02257#1#h1tg000086l	JAGYVI010000086
HG02257#1#h1tg000087l	JAGYVI010000087
HG02257#1#h1tg000088l	JAGYVI010000088
HG02257#1#h1tg000089l	JAGYVI010000089
HG02257#1#h1tg000090l	JAGYVI010000090
HG02257#1#h1tg000091l	JAGYVI010000091
HG02257#1#h1tg000092l	JAGYVI010000092
HG02257#1#h1tg000093l	JAGYVI010000093
HG02257#1#h1tg000094l	JAGYVI010000094
HG02257#1#h1tg000095l	JAGYVI010000095
HG02257#1#h1tg000096l	JAGYVI010000096
HG02257#1#h1tg000097l	JAGYVI010000097
HG02257#1#h1tg000098l	JAGYVI010000098
HG02257#1#h1tg000099l	JAGYVI010000099
HG02257#1#h1tg000100l	JAGYVI010000100
HG02257#1#h1tg000101l	JAGYVI010000101
HG02257#1#h1tg000102l	JAGYVI010000102
HG02257#1#h1tg000103l	JAGYVI010000103
HG02257#1#h1tg000104l	JAGYVI010000104
HG02257#1#h1tg000105l	JAGYVI010000105
HG02257#1#h1tg000106l	JAGYVI010000106
HG02257#1#h1tg000107l	JAGYVI010000107
HG02257#1#h1tg000108l	JAGYVI010000108
HG02257#1#h1tg000109l	JAGYVI010000109
HG02257#1#h1tg000110l	JAGYVI010000110
HG02257#1#h1tg000111l	JAGYVI010000111
HG02257#1#h1tg000112l	JAGYVI010000112
HG02257#1#h1tg000113l	JAGYVI010000113
HG02257#1#h1tg000114l	JAGYVI010000114
HG02257#1#h1tg000115l	JAGYVI010000115
HG02257#1#h1tg000116l	JAGYVI010000116
HG02257#1#h1tg000117l	JAGYVI010000117
HG02257#1#h1tg000118l	JAGYVI010000118
HG02257#1#h1tg000119l	JAGYVI010000119
HG02257#1#h1tg000120l	JAGYVI010000120
HG02257#1#h1tg000121l	JAGYVI010000121
HG02257#1#h1tg000122l	JAGYVI010000122
HG02257#1#h1tg000123l	JAGYVI010000123
HG02257#1#h1tg000124l	JAGYVI010000124
HG02257#1#h1tg000125l	JAGYVI010000125
HG02257#1#h1tg000126l	JAGYVI010000126
HG02257#1#h1tg000127l	JAGYVI010000127
HG02257#1#h1tg000128l	JAGYVI010000128
HG02257#1#h1tg000129l	JAGYVI010000129
HG02257#1#h1tg000130l	JAGYVI010000130
HG02257#1#h1tg000131l	JAGYVI010000131
HG02257#1#h1tg000132l	JAGYVI010000132
HG02257#1#h1tg000133l	JAGYVI010000133
HG02257#1#h1tg000134l	JAGYVI010000134
HG02257#1#h1tg000135l	JAGYVI010000135
HG02257#1#h1tg000136l	JAGYVI010000136
HG02257#1#h1tg000137l	JAGYVI010000137
HG02257#1#h1tg000138l	JAGYVI010000138
HG02257#1#h1tg000139l	JAGYVI010000139
HG02257#1#h1tg000140l	JAGYVI010000140
HG02257#1#h1tg000141l	JAGYVI010000141
HG02257#1#h1tg000142l	JAGYVI010000142
HG02257#1#h1tg000143l	JAGYVI010000143
HG02257#1#h1tg000144l	JAGYVI010000144
HG02257#1#h1tg000146c	JAGYVI010000145
HG02257#1#h1tg000147l	JAGYVI010000146
HG02257#1#h1tg000148l	JAGYVI010000147
HG02257#1#h1tg000149l	JAGYVI010000148
HG02257#1#h1tg000151l	JAGYVI010000149
HG02257#1#h1tg000152l	JAGYVI010000150
HG02257#1#h1tg000153l	JAGYVI010000151
HG02257#1#h1tg000154l	JAGYVI010000152
HG02257#1#h1tg000155l	JAGYVI010000153
HG02257#1#h1tg000157l	JAGYVI010000154
HG02257#1#h1tg000158l	JAGYVI010000155
HG02257#1#h1tg000159l	JAGYVI010000156
HG02257#1#h1tg000160l	JAGYVI010000157
HG02257#1#h1tg000161l	JAGYVI010000158
HG02257#1#h1tg000162l	JAGYVI010000159
HG02257#1#h1tg000163l	JAGYVI010000160
HG02257#1#h1tg000165l	JAGYVI010000161
HG02257#1#h1tg000166l	JAGYVI010000162
HG02257#1#h1tg000167l	JAGYVI010000163
HG02257#1#h1tg000168l	JAGYVI010000164
HG02257#1#h1tg000169l	JAGYVI010000165
HG02257#1#h1tg000170l	JAGYVI010000166
HG02257#1#h1tg000171l	JAGYVI010000167
HG02257#1#h1tg000172l	JAGYVI010000168
HG02257#1#h1tg000173l	JAGYVI010000169
HG02257#1#h1tg000175l	JAGYVI010000170
HG02257#1#h1tg000176l	JAGYVI010000171
HG02257#1#h1tg000177l	JAGYVI010000172
HG02257#1#h1tg000178l	JAGYVI010000173
HG02257#1#h1tg000179l	JAGYVI010000174
HG02257#1#h1tg000181l	JAGYVI010000175
HG02257#1#h1tg000182c	JAGYVI010000176
HG02257#1#h1tg000184l	JAGYVI010000177
HG02257#1#h1tg000185l	JAGYVI010000178
HG02257#1#h1tg000186l	JAGYVI010000179
HG02257#1#h1tg000187l	JAGYVI010000180
HG02257#1#h1tg000188l	JAGYVI010000181
HG02257#1#h1tg000189l	JAGYVI010000182
HG02257#1#h1tg000190l	JAGYVI010000183
HG02257#1#h1tg000191l	JAGYVI010000184
HG02257#1#h1tg000192l	JAGYVI010000185
HG02257#1#h1tg000193l	JAGYVI010000186
HG02257#1#h1tg000194l	JAGYVI010000187
HG02257#1#h1tg000195l	JAGYVI010000188
HG02257#1#h1tg000196l	JAGYVI010000189
HG02257#1#h1tg000198l	JAGYVI010000190
HG02257#1#h1tg000200l	JAGYVI010000191
HG02257#1#h1tg000201l	JAGYVI010000192
HG02257#1#h1tg000203l	JAGYVI010000193
HG02257#1#h1tg000204l	JAGYVI010000194
HG02257#1#h1tg000205l	JAGYVI010000195
HG02257#1#h1tg000208l	JAGYVI010000196
HG02257#1#h1tg000209l	JAGYVI010000197
HG02257#1#h1tg000210l	JAGYVI010000198
HG02257#1#h1tg000211l	JAGYVI010000199
HG02257#1#h1tg000213l	JAGYVI010000200
HG02257#1#h1tg000214l	JAGYVI010000201
HG02257#1#h1tg000215l	JAGYVI010000202
HG02257#1#h1tg000216l	JAGYVI010000203
HG02257#1#h1tg000218l	JAGYVI010000204
HG02257#1#h1tg000219l	JAGYVI010000205
HG02257#1#h1tg000220c	JAGYVI010000206
HG02257#1#h1tg000222l	JAGYVI010000207
HG02257#1#h1tg000223l	JAGYVI010000208
HG02257#1#h1tg000224l	JAGYVI010000209
HG02257#1#h1tg000225l	JAGYVI010000210
HG02257#1#h1tg000226c	JAGYVI010000211
HG02257#1#h1tg000227l	JAGYVI010000212
HG02257#1#h1tg000228l	JAGYVI010000213
HG02257#1#h1tg000229l	JAGYVI010000214
HG02257#1#h1tg000230l	JAGYVI010000215
HG02257#1#h1tg000231l	JAGYVI010000216
HG02257#1#h1tg000232l	JAGYVI010000217
HG02257#1#h1tg000233l	JAGYVI010000218
HG02257#1#h1tg000235l	JAGYVI010000219
HG02257#1#h1tg000236l	JAGYVI010000220
HG02257#1#h1tg000237c	JAGYVI010000221
HG02257#1#h1tg000238l	JAGYVI010000222
HG02257#1#h1tg000239l	JAGYVI010000223
HG02257#1#h1tg000240l	JAGYVI010000224
HG02257#1#h1tg000241l	JAGYVI010000225
HG02257#1#h1tg000242l	JAGYVI010000226
HG02257#1#h1tg000243l	JAGYVI010000227
HG02257#1#h1tg000244l	JAGYVI010000228
HG02257#1#h1tg000247l	JAGYVI010000229
HG02257#1#h1tg000248l	JAGYVI010000230
HG02257#1#h1tg000250l	JAGYVI010000231
HG02257#1#h1tg000251l	JAGYVI010000232
HG02257#1#h1tg000253l	JAGYVI010000233
HG02257#1#h1tg000254l	JAGYVI010000234
HG02257#1#h1tg000255l	JAGYVI010000235
HG02257#1#h1tg000256c	JAGYVI010000236
HG02257#1#h1tg000257l	JAGYVI010000237
HG02257#1#h1tg000258l	JAGYVI010000238
HG02257#1#h1tg000259c	JAGYVI010000239
HG02257#1#h1tg000262l	JAGYVI010000240
HG02257#1#h1tg000263l	JAGYVI010000241
HG02257#1#h1tg000266l	JAGYVI010000242
HG02257#1#h1tg000267l	JAGYVI010000243
HG02257#1#h1tg000270l	JAGYVI010000244
HG02257#1#h1tg000271l	JAGYVI010000245
HG02257#1#h1tg000273l	JAGYVI010000246
HG02257#1#h1tg000275l	JAGYVI010000247
HG02257#1#h1tg000276l	JAGYVI010000248
HG02257#1#h1tg000277l	JAGYVI010000249
HG02257#1#h1tg000278l	JAGYVI010000250
HG02257#1#h1tg000279l	JAGYVI010000251
HG02257#1#h1tg000280l	JAGYVI010000252
HG02257#1#h1tg000281l	JAGYVI010000253
HG02257#1#h1tg000283l	JAGYVI010000254
HG02257#1#h1tg000284l	JAGYVI010000255
HG02257#1#h1tg000285l	JAGYVI010000256
HG02257#1#h1tg000286l	JAGYVI010000257
HG02257#1#h1tg000288l	JAGYVI010000258
HG02257#1#h1tg000289l	JAGYVI010000259
HG02257#1#h1tg000291l	JAGYVI010000260
HG02257#1#h1tg000292l	JAGYVI010000261
HG02257#1#h1tg000293l	JAGYVI010000262
HG02257#1#h1tg000294c	JAGYVI010000263
HG02257#1#h1tg000296l	JAGYVI010000264
HG02257#1#h1tg000297l	JAGYVI010000265
HG02257#1#h1tg000299l	JAGYVI010000266
