dropped_contig	size	source
HG002#1#h1tg000202l	29845	Human gammaherpesvirus 4
HG002#1#h1tg000219l	28296	Human gammaherpesvirus 4
HG002#1#h1tg000226l	18385	Human gammaherpesvirus 4
HG002#1#h1tg000232l	27385	Human gammaherpesvirus 4
HG002#1#h1tg000235l	28274	Human gammaherpesvirus 4
HG002#1#h1tg000263l	34170	Human gammaherpesvirus 4
HG002#1#h1tg000278l	48383	Human gammaherpesvirus 4
HG002#1#h1tg000290l	19906	Human gammaherpesvirus 4
HG002#1#h1tg000306l	23376	Human gammaherpesvirus 4
HG002#1#h1tg000344l	27809	Human gammaherpesvirus 4
HG002#1#h1tg000351l	38397	Human gammaherpesvirus 4
HG002#1#h1tg000375l	25055	Human gammaherpesvirus 4
HG002#1#h1tg000403l	31444	Human gammaherpesvirus 4
HG002#1#h1tg000409l	37655	Human gammaherpesvirus 4
HG002#1#h1tg000415l	21010	Human gammaherpesvirus 4
HG002#1#h1tg000421l	25154	Human gammaherpesvirus 4
HG002#1#h1tg000423l	16928	Human gammaherpesvirus 4
HG002#1#h1tg000444l	36990	Human gammaherpesvirus 4
HG002#1#h1tg000449l	23555	Human gammaherpesvirus 4
HG002#1#h1tg000455l	21707	Human gammaherpesvirus 4
HG002#1#h1tg000459l	39798	Human gammaherpesvirus 4
HG002#1#h1tg000460l	25141	Human gammaherpesvirus 4
HG002#1#h1tg000465l	23070	Human gammaherpesvirus 4
HG002#1#h1tg000523l	70963	Human gammaherpesvirus 4
HG002#1#h1tg000547l	39595	Human gammaherpesvirus 4
HG002#1#h1tg000556l	58747	Human gammaherpesvirus 4
HG002#1#h1tg000610l	33723	Human gammaherpesvirus 4
HG002#1#h1tg000611l	32931	Human gammaherpesvirus 4
HG002#1#h1tg000618l	39770	Human gammaherpesvirus 4
HG002#1#h1tg000636l	29039	Human gammaherpesvirus 4
HG002#1#h1tg000644l	33198	Human gammaherpesvirus 4
HG002#1#h1tg000660l	31747	Human gammaherpesvirus 4
HG002#1#h1tg000661l	29125	Human gammaherpesvirus 4
HG002#1#h1tg000667l	29203	Human gammaherpesvirus 4
HG002#1#h1tg000701l	37064	Human gammaherpesvirus 4
HG002#1#h1tg000717l	36425	Human gammaherpesvirus 4
HG002#1#h1tg000742l	22007	Saccharomyces cerevisiae S288C
HG00438#2#h2tg000165l	194084	Human gammaherpesvirus 4
HG00438#1#h1tg000190l	197371	Human gammaherpesvirus 4
HG00438#1#h1tg000262l	42477	Human gammaherpesvirus 4
HG005#2#h2tg000133l	58967	Human gammaherpesvirus 4
HG005#2#h2tg000152l	65667	Human gammaherpesvirus 4
HG005#2#h2tg000155l	37503	Human gammaherpesvirus 4
HG005#2#h2tg000227l	44667	Human gammaherpesvirus 4
HG005#2#h2tg000237l	49648	Human gammaherpesvirus 4
HG005#2#h2tg000241l	104357	Human gammaherpesvirus 4
HG005#2#h2tg000242l	40686	Human gammaherpesvirus 4
HG005#2#h2tg000253l	37950	Human gammaherpesvirus 4
HG005#2#h2tg000274l	39837	Human gammaherpesvirus 4
HG005#2#h2tg000276l	43308	Human gammaherpesvirus 4
HG005#2#h2tg000303l	105773	Human gammaherpesvirus 4
HG005#2#h2tg000317l	36855	Human gammaherpesvirus 4
HG005#2#h2tg000326l	41791	Human gammaherpesvirus 4
HG005#2#h2tg000329l	23752	Human gammaherpesvirus 4
HG005#2#h2tg000346l	42372	Human gammaherpesvirus 4
HG005#2#h2tg000362l	52482	Human gammaherpesvirus 4
HG005#2#h2tg000365l	45197	Human gammaherpesvirus 4
HG005#2#h2tg000366l	47679	Human gammaherpesvirus 4
HG005#2#h2tg000371l	40216	Human gammaherpesvirus 4
HG005#2#h2tg000374l	45945	Human gammaherpesvirus 4
HG005#2#h2tg000381l	85834	Human gammaherpesvirus 4
HG005#2#h2tg000418l	43024	Human gammaherpesvirus 4
HG005#2#h2tg000426l	47806	Human gammaherpesvirus 4
HG005#2#h2tg000449l	33823	Human gammaherpesvirus 4
HG005#2#h2tg000479l	57559	Human gammaherpesvirus 4
HG005#2#h2tg000480l	62443	Human gammaherpesvirus 4
HG005#2#h2tg000485l	34511	Human gammaherpesvirus 4
HG005#2#h2tg000509l	47034	Human gammaherpesvirus 4
HG005#2#h2tg000516l	38926	Human gammaherpesvirus 4
HG005#2#h2tg000530l	44366	Human gammaherpesvirus 4
HG005#2#h2tg000553l	49306	Human gammaherpesvirus 4
HG005#2#h2tg000560l	26412	Human gammaherpesvirus 4
HG005#2#h2tg000565l	35666	Human gammaherpesvirus 4
HG005#2#h2tg000603l	27005	Human gammaherpesvirus 4
HG005#2#h2tg000633l	44490	Human gammaherpesvirus 4
HG005#2#h2tg000659l	29407	Human gammaherpesvirus 4
HG005#2#h2tg000689l	50358	Human gammaherpesvirus 4
HG005#2#h2tg000525l	13137	Human gammaherpesvirus 4
HG005#1#h1tg000128l	58967	Human gammaherpesvirus 4
HG005#1#h1tg000150l	65667	Human gammaherpesvirus 4
HG005#1#h1tg000152l	31553	Human gammaherpesvirus 4
HG005#1#h1tg000154l	37503	Human gammaherpesvirus 4
HG005#1#h1tg000164l	28021	Human gammaherpesvirus 4
HG005#1#h1tg000232l	44667	Human gammaherpesvirus 4
HG005#1#h1tg000245l	49648	Human gammaherpesvirus 4
HG005#1#h1tg000250l	104357	Human gammaherpesvirus 4
HG005#1#h1tg000252l	40686	Human gammaherpesvirus 4
HG005#1#h1tg000257l	42403	Human gammaherpesvirus 4
HG005#1#h1tg000258l	28299	Human gammaherpesvirus 4
HG005#1#h1tg000260l	30342	Human gammaherpesvirus 4
HG005#1#h1tg000266l	37950	Human gammaherpesvirus 4
HG005#1#h1tg000270l	32444	Human gammaherpesvirus 4
HG005#1#h1tg000275l	33011	Human gammaherpesvirus 4
HG005#1#h1tg000296l	39837	Human gammaherpesvirus 4
HG005#1#h1tg000307l	25125	Human gammaherpesvirus 4
HG005#1#h1tg000313l	35300	Human gammaherpesvirus 4
HG005#1#h1tg000315l	40427	Human gammaherpesvirus 4
HG005#1#h1tg000318l	29572	Human gammaherpesvirus 4
HG005#1#h1tg000330l	105773	Human gammaherpesvirus 4
HG005#1#h1tg000346l	36855	Human gammaherpesvirus 4
HG005#1#h1tg000356l	40755	Human gammaherpesvirus 4
HG005#1#h1tg000359l	41791	Human gammaherpesvirus 4
HG005#1#h1tg000360l	47365	Human gammaherpesvirus 4
HG005#1#h1tg000366l	39536	Human gammaherpesvirus 4
HG005#1#h1tg000377l	42372	Human gammaherpesvirus 4
HG005#1#h1tg000383l	34169	Human gammaherpesvirus 4
HG005#1#h1tg000385l	52482	Human gammaherpesvirus 4
HG005#1#h1tg000387l	45197	Human gammaherpesvirus 4
HG005#1#h1tg000390l	44583	Human gammaherpesvirus 4
HG005#1#h1tg000392l	40216	Human gammaherpesvirus 4
HG005#1#h1tg000396l	45945	Human gammaherpesvirus 4
HG005#1#h1tg000402l	26116	Human gammaherpesvirus 4
HG005#1#h1tg000404l	85834	Human gammaherpesvirus 4
HG005#1#h1tg000405l	29830	Human gammaherpesvirus 4
HG005#1#h1tg000406l	36144	Human gammaherpesvirus 4
HG005#1#h1tg000407l	24392	Human gammaherpesvirus 4
HG005#1#h1tg000408l	45171	Human gammaherpesvirus 4
HG005#1#h1tg000409l	29309	Human gammaherpesvirus 4
HG005#1#h1tg000424l	33336	Human gammaherpesvirus 4
HG005#1#h1tg000432l	32303	Human gammaherpesvirus 4
HG005#1#h1tg000452l	32607	Human gammaherpesvirus 4
HG005#1#h1tg000461l	40642	Human gammaherpesvirus 4
HG005#1#h1tg000462l	40877	Human gammaherpesvirus 4
HG005#1#h1tg000465l	43024	Human gammaherpesvirus 4
HG005#1#h1tg000469l	39070	Human gammaherpesvirus 4
HG005#1#h1tg000472l	47806	Human gammaherpesvirus 4
HG005#1#h1tg000477l	36246	Human gammaherpesvirus 4
HG005#1#h1tg000486l	33218	Human gammaherpesvirus 4
HG005#1#h1tg000488l	30972	Human gammaherpesvirus 4
HG005#1#h1tg000490l	33823	Human gammaherpesvirus 4
HG005#1#h1tg000497l	40069	Human gammaherpesvirus 4
HG005#1#h1tg000498l	30424	Human gammaherpesvirus 4
HG005#1#h1tg000504l	43439	Human gammaherpesvirus 4
HG005#1#h1tg000508l	26699	Human gammaherpesvirus 4
HG005#1#h1tg000515l	32563	Human gammaherpesvirus 4
HG005#1#h1tg000518l	32158	Human gammaherpesvirus 4
HG005#1#h1tg000525l	57559	Human gammaherpesvirus 4
HG005#1#h1tg000527l	62443	Human gammaherpesvirus 4
HG005#1#h1tg000530l	33611	Human gammaherpesvirus 4
HG005#1#h1tg000536l	34511	Human gammaherpesvirus 4
HG005#1#h1tg000538l	30814	Human gammaherpesvirus 4
HG005#1#h1tg000547l	26377	Human gammaherpesvirus 4
HG005#1#h1tg000552l	33074	Human gammaherpesvirus 4
HG005#1#h1tg000553l	33464	Human gammaherpesvirus 4
HG005#1#h1tg000555l	24525	Human gammaherpesvirus 4
HG005#1#h1tg000556l	30444	Human gammaherpesvirus 4
HG005#1#h1tg000564l	37880	Human gammaherpesvirus 4
HG005#1#h1tg000568l	47034	Human gammaherpesvirus 4
HG005#1#h1tg000572l	38926	Human gammaherpesvirus 4
HG005#1#h1tg000578l	36359	Human gammaherpesvirus 4
HG005#1#h1tg000583l	29531	Human gammaherpesvirus 4
HG005#1#h1tg000585l	29567	Human gammaherpesvirus 4
HG005#1#h1tg000586l	25723	Human gammaherpesvirus 4
HG005#1#h1tg000588l	44366	Human gammaherpesvirus 4
HG005#1#h1tg000592l	30709	Human gammaherpesvirus 4
HG005#1#h1tg000593l	26266	Human gammaherpesvirus 4
HG005#1#h1tg000594l	28161	Human gammaherpesvirus 4
HG005#1#h1tg000595l	25133	Human gammaherpesvirus 4
HG005#1#h1tg000600l	36244	Human gammaherpesvirus 4
HG005#1#h1tg000604l	35121	Human gammaherpesvirus 4
HG005#1#h1tg000610l	31103	Human gammaherpesvirus 4
HG005#1#h1tg000615l	23702	Human gammaherpesvirus 4
HG005#1#h1tg000618l	31621	Human gammaherpesvirus 4
HG005#1#h1tg000626l	49306	Human gammaherpesvirus 4
HG005#1#h1tg000630l	34842	Human gammaherpesvirus 4
HG005#1#h1tg000632l	36139	Human gammaherpesvirus 4
HG005#1#h1tg000633l	39324	Human gammaherpesvirus 4
HG005#1#h1tg000638l	26412	Human gammaherpesvirus 4
HG005#1#h1tg000650l	27005	Human gammaherpesvirus 4
HG005#1#h1tg000653l	31237	Human gammaherpesvirus 4
HG005#1#h1tg000659l	30428	Human gammaherpesvirus 4
HG005#1#h1tg000660l	29061	Human gammaherpesvirus 4
HG005#1#h1tg000661l	34462	Human gammaherpesvirus 4
HG005#1#h1tg000663l	26643	Human gammaherpesvirus 4
HG005#1#h1tg000666l	35791	Human gammaherpesvirus 4
HG005#1#h1tg000672l	41127	Human gammaherpesvirus 4
HG005#1#h1tg000677l	29688	Human gammaherpesvirus 4
HG005#1#h1tg000689l	21972	Human gammaherpesvirus 4
HG005#1#h1tg000690l	23406	Human gammaherpesvirus 4
HG005#1#h1tg000698l	25360	Human gammaherpesvirus 4
HG005#1#h1tg000710l	35176	Human gammaherpesvirus 4
HG005#1#h1tg000711l	30731	Human gammaherpesvirus 4
HG005#1#h1tg000712l	30962	Human gammaherpesvirus 4
HG005#1#h1tg000714l	30280	Human gammaherpesvirus 4
HG005#1#h1tg000715l	23604	Human gammaherpesvirus 4
HG005#1#h1tg000719l	32580	Human gammaherpesvirus 4
HG005#1#h1tg000722l	33116	Human gammaherpesvirus 4
HG005#1#h1tg000726l	30721	Human gammaherpesvirus 4
HG005#1#h1tg000728l	29551	Human gammaherpesvirus 4
HG005#1#h1tg000735l	36052	Human gammaherpesvirus 4
HG005#1#h1tg000736l	35391	Human gammaherpesvirus 4
HG005#1#h1tg000742l	50358	Human gammaherpesvirus 4
HG005#1#h1tg000749l	30650	Human gammaherpesvirus 4
HG005#1#h1tg000751l	38050	Human gammaherpesvirus 4
HG005#1#h1tg000757l	30003	Human gammaherpesvirus 4
HG005#1#h1tg000759l	32235	Human gammaherpesvirus 4
HG005#1#h1tg000777l	22355	Human gammaherpesvirus 4
HG005#1#h1tg000778l	26519	Human gammaherpesvirus 4
HG005#1#h1tg000780l	25405	Human gammaherpesvirus 4
HG005#1#h1tg000788l	29156	Human gammaherpesvirus 4
HG005#1#h1tg000790l	26048	Human gammaherpesvirus 4
HG005#1#h1tg000791l	24585	Human gammaherpesvirus 4
HG005#1#h1tg000796l	35051	Human gammaherpesvirus 4
HG005#1#h1tg000797l	29368	Human gammaherpesvirus 4
HG005#1#h1tg000361l	32850	Human gammaherpesvirus 4
HG005#1#h1tg000581l	13137	Human gammaherpesvirus 4
HG005#1#h1tg000744l	4627	Human gammaherpesvirus 4
HG00621#2#h2tg000189l	83351	Human gammaherpesvirus 4
HG00621#1#h1tg000168l	81718	Human gammaherpesvirus 4
HG00621#1#h1tg000188l	46611	Human gammaherpesvirus 4
HG00621#1#h1tg000227l	37291	Human gammaherpesvirus 4
HG00621#1#h1tg000238l	35489	Human gammaherpesvirus 4
HG00621#1#h1tg000242l	30397	Human gammaherpesvirus 4
HG00621#1#h1tg000270l	35882	Human gammaherpesvirus 4
HG00621#1#h1tg000271l	38862	Human gammaherpesvirus 4
HG00621#1#h1tg000273l	41236	Human gammaherpesvirus 4
HG00673#2#h2tg000301l	41398	Human gammaherpesvirus 4
HG00673#2#h2tg000322l	55371	Human gammaherpesvirus 4
HG00673#2#h2tg000355l	42674	Human gammaherpesvirus 4
HG00673#2#h2tg000360l	34889	Human gammaherpesvirus 4
HG00673#2#h2tg000362l	35283	Human gammaherpesvirus 4
HG00673#1#h1tg000181l	30970	Human gammaherpesvirus 4
HG00673#1#h1tg000194l	30182	Human gammaherpesvirus 4
HG00673#1#h1tg000321l	41398	Human gammaherpesvirus 4
HG00673#1#h1tg000328l	34647	Human gammaherpesvirus 4
HG00673#1#h1tg000356l	55371	Human gammaherpesvirus 4
HG00673#1#h1tg000357l	41144	Human gammaherpesvirus 4
HG00673#1#h1tg000364l	36690	Human gammaherpesvirus 4
HG00673#1#h1tg000372l	31788	Human gammaherpesvirus 4
HG00673#1#h1tg000388l	39606	Human gammaherpesvirus 4
HG00673#1#h1tg000392l	26557	Human gammaherpesvirus 4
HG00673#1#h1tg000399l	48577	Human gammaherpesvirus 4
HG00673#1#h1tg000405l	28109	Human gammaherpesvirus 4
HG00673#1#h1tg000418l	42674	Human gammaherpesvirus 4
HG00673#1#h1tg000419l	33523	Human gammaherpesvirus 4
HG00673#1#h1tg000428l	34889	Human gammaherpesvirus 4
HG00673#1#h1tg000430l	35283	Human gammaherpesvirus 4
HG00733#2#h2tg000264l	34890	Human gammaherpesvirus 4
HG00733#2#h2tg000367l	29506	Human gammaherpesvirus 4
HG00733#2#h2tg000387l	40052	Human gammaherpesvirus 4
HG00733#2#h2tg000405l	25089	Human gammaherpesvirus 4
HG00733#2#h2tg000498l	32532	Human gammaherpesvirus 4
HG00733#2#h2tg000518l	28964	Human gammaherpesvirus 4
HG00733#2#h2tg000603l	30959	Human gammaherpesvirus 4
HG00733#2#h2tg000612l	46539	Human gammaherpesvirus 4
HG00733#1#h1tg000150l	29945	Human gammaherpesvirus 4
HG00733#1#h1tg000188l	15087	Human gammaherpesvirus 4
HG00733#1#h1tg000212l	24506	Human gammaherpesvirus 4
HG00733#1#h1tg000213l	21052	Human gammaherpesvirus 4
HG00733#1#h1tg000250l	19907	Human gammaherpesvirus 4
HG00733#1#h1tg000252l	23941	Human gammaherpesvirus 4
HG00733#1#h1tg000266l	22132	Human gammaherpesvirus 4
HG00733#1#h1tg000273l	19589	Human gammaherpesvirus 4
HG00733#1#h1tg000288l	34890	Human gammaherpesvirus 4
HG00733#1#h1tg000313l	32429	Human gammaherpesvirus 4
HG00733#1#h1tg000314l	19637	Human gammaherpesvirus 4
HG00733#1#h1tg000316l	26754	Human gammaherpesvirus 4
HG00733#1#h1tg000331l	25004	Human gammaherpesvirus 4
HG00733#1#h1tg000347l	29570	Human gammaherpesvirus 4
HG00733#1#h1tg000366l	22651	Human gammaherpesvirus 4
HG00733#1#h1tg000376l	26630	Human gammaherpesvirus 4
HG00733#1#h1tg000386l	41968	Human gammaherpesvirus 4
HG00733#1#h1tg000408l	29506	Human gammaherpesvirus 4
HG00733#1#h1tg000414l	32202	Human gammaherpesvirus 4
HG00733#1#h1tg000430l	19649	Human gammaherpesvirus 4
HG00733#1#h1tg000432l	27731	Human gammaherpesvirus 4
HG00733#1#h1tg000434l	40052	Human gammaherpesvirus 4
HG00733#1#h1tg000439l	17810	Human gammaherpesvirus 4
HG00733#1#h1tg000445l	27648	Human gammaherpesvirus 4
HG00733#1#h1tg000452l	25089	Human gammaherpesvirus 4
HG00733#1#h1tg000471l	24995	Human gammaherpesvirus 4
HG00733#1#h1tg000501l	21326	Human gammaherpesvirus 4
HG00733#1#h1tg000503l	22823	Human gammaherpesvirus 4
HG00733#1#h1tg000517l	42847	Human gammaherpesvirus 4
HG00733#1#h1tg000539l	24512	Human gammaherpesvirus 4
HG00733#1#h1tg000541l	25836	Human gammaherpesvirus 4
HG00733#1#h1tg000552l	23854	Human gammaherpesvirus 4
HG00733#1#h1tg000554l	21047	Human gammaherpesvirus 4
HG00733#1#h1tg000559l	19776	Human gammaherpesvirus 4
HG00733#1#h1tg000562l	32532	Human gammaherpesvirus 4
HG00733#1#h1tg000563l	29571	Human gammaherpesvirus 4
HG00733#1#h1tg000564l	28397	Human gammaherpesvirus 4
HG00733#1#h1tg000577l	24667	Human gammaherpesvirus 4
HG00733#1#h1tg000579l	26721	Human gammaherpesvirus 4
HG00733#1#h1tg000587l	35426	Human gammaherpesvirus 4
HG00733#1#h1tg000593l	28964	Human gammaherpesvirus 4
HG00733#1#h1tg000594l	29574	Human gammaherpesvirus 4
HG00733#1#h1tg000621l	26338	Human gammaherpesvirus 4
HG00733#1#h1tg000626l	23630	Human gammaherpesvirus 4
HG00733#1#h1tg000644l	21298	Human gammaherpesvirus 4
HG00733#1#h1tg000661l	29086	Human gammaherpesvirus 4
HG00733#1#h1tg000663l	32383	Human gammaherpesvirus 4
HG00733#1#h1tg000681l	25320	Human gammaherpesvirus 4
HG00733#1#h1tg000687l	22048	Human gammaherpesvirus 4
HG00733#1#h1tg000698l	24449	Human gammaherpesvirus 4
HG00733#1#h1tg000703l	21443	Human gammaherpesvirus 4
HG00733#1#h1tg000704l	21730	Human gammaherpesvirus 4
HG00733#1#h1tg000709l	30959	Human gammaherpesvirus 4
HG00733#1#h1tg000710l	25964	Human gammaherpesvirus 4
HG00733#1#h1tg000711l	24133	Human gammaherpesvirus 4
HG00733#1#h1tg000716l	29889	Human gammaherpesvirus 4
HG00733#1#h1tg000718l	29683	Human gammaherpesvirus 4
HG00733#1#h1tg000720l	46539	Human gammaherpesvirus 4
HG00733#1#h1tg000736l	30721	Human gammaherpesvirus 4
HG00733#1#h1tg000747l	32209	Human gammaherpesvirus 4
HG00735#2#h2tg000170l	59285	Human gammaherpesvirus 4
HG00735#2#h2tg000197l	51622	Human gammaherpesvirus 4
HG00735#2#h2tg000201l	82824	Human gammaherpesvirus 4
HG00735#2#h2tg000229l	44902	Human gammaherpesvirus 4
HG00735#2#h2tg000231l	43161	Human gammaherpesvirus 4
HG00735#2#h2tg000241l	63142	Human gammaherpesvirus 4
HG00735#2#h2tg000243l	55461	Human gammaherpesvirus 4
HG00735#1#h1tg000183l	59285	Human gammaherpesvirus 4
HG00735#1#h1tg000217l	51622	Human gammaherpesvirus 4
HG00735#1#h1tg000218l	45304	Human gammaherpesvirus 4
HG00735#1#h1tg000220l	82824	Human gammaherpesvirus 4
HG00735#1#h1tg000229l	35069	Human gammaherpesvirus 4
HG00735#1#h1tg000233l	69320	Human gammaherpesvirus 4
HG00735#1#h1tg000238l	34422	Human gammaherpesvirus 4
HG00735#1#h1tg000240l	31909	Human gammaherpesvirus 4
HG00735#1#h1tg000251l	30402	Human gammaherpesvirus 4
HG00735#1#h1tg000269l	44902	Human gammaherpesvirus 4
HG00735#1#h1tg000270l	45732	Human gammaherpesvirus 4
HG00735#1#h1tg000272l	43161	Human gammaherpesvirus 4
HG00735#1#h1tg000275l	36907	Human gammaherpesvirus 4
HG00735#1#h1tg000281l	41116	Human gammaherpesvirus 4
HG00735#1#h1tg000282l	63142	Human gammaherpesvirus 4
HG00735#1#h1tg000286l	55461	Human gammaherpesvirus 4
HG00735#1#h1tg000296l	44020	Human gammaherpesvirus 4
HG00735#1#h1tg000298l	35918	Human gammaherpesvirus 4
HG00735#1#h1tg000302l	44760	Human gammaherpesvirus 4
HG00735#1#h1tg000304l	50139	Human gammaherpesvirus 4
HG00735#1#h1tg000312l	33121	Human gammaherpesvirus 4
HG00735#1#h1tg000315l	41179	Human gammaherpesvirus 4
HG00741#2#h2tg000131l	64488	Human gammaherpesvirus 4
HG00741#2#h2tg000213l	65502	Human gammaherpesvirus 4
HG00741#2#h2tg000230l	34628	Human gammaherpesvirus 4
HG00741#2#h2tg000259l	58917	Human gammaherpesvirus 4
HG00741#2#h2tg000272l	37729	Human gammaherpesvirus 4
HG00741#2#h2tg000277l	107786	Human gammaherpesvirus 4
HG00741#2#h2tg000278l	52600	Human gammaherpesvirus 4
HG00741#2#h2tg000279l	52130	Human gammaherpesvirus 4
HG00741#2#h2tg000285l	67662	Human gammaherpesvirus 4
HG00741#2#h2tg000288l	65188	Human gammaherpesvirus 4
HG00741#1#h1tg000126l	64488	Human gammaherpesvirus 4
HG00741#1#h1tg000202l	54354	Human gammaherpesvirus 4
HG00741#1#h1tg000217l	65502	Human gammaherpesvirus 4
HG00741#1#h1tg000231l	34628	Human gammaherpesvirus 4
HG00741#1#h1tg000238l	71711	Human gammaherpesvirus 4
HG00741#1#h1tg000248l	62810	Human gammaherpesvirus 4
HG00741#1#h1tg000250l	58917	Human gammaherpesvirus 4
HG00741#1#h1tg000257l	45508	Human gammaherpesvirus 4
HG00741#1#h1tg000265l	107786	Human gammaherpesvirus 4
HG00741#1#h1tg000268l	52600	Human gammaherpesvirus 4
HG00741#1#h1tg000269l	52130	Human gammaherpesvirus 4
HG00741#1#h1tg000276l	54476	Human gammaherpesvirus 4
HG00741#1#h1tg000277l	39326	Human gammaherpesvirus 4
HG00741#1#h1tg000280l	67662	Human gammaherpesvirus 4
HG00741#1#h1tg000284l	33579	Human gammaherpesvirus 4
HG00741#1#h1tg000285l	55720	Human gammaherpesvirus 4
HG00741#1#h1tg000289l	65188	Human gammaherpesvirus 4
HG00741#1#h1tg000290l	51334	Human gammaherpesvirus 4
HG00741#1#h1tg000291l	47394	Human gammaherpesvirus 4
HG00741#1#h1tg000292l	44696	Human gammaherpesvirus 4
HG00741#1#h1tg000296l	30799	Human gammaherpesvirus 4
HG00741#1#h1tg000304l	31579	Human gammaherpesvirus 4
HG01071#2#h2tg000183l	53250	Human gammaherpesvirus 4
HG01071#2#h2tg000232l	56903	Human gammaherpesvirus 4
HG01071#1#h1tg000045l	42733	Human gammaherpesvirus 4
HG01071#1#h1tg000094l	49836	Human gammaherpesvirus 4
HG01071#1#h1tg000114l	51598	Human gammaherpesvirus 4
HG01071#1#h1tg000118l	54325	Human gammaherpesvirus 4
HG01071#1#h1tg000142l	50295	Human gammaherpesvirus 4
HG01071#1#h1tg000211l	51560	Human gammaherpesvirus 4
HG01071#1#h1tg000220l	53250	Human gammaherpesvirus 4
HG01071#1#h1tg000221l	59670	Human gammaherpesvirus 4
HG01071#1#h1tg000229l	46921	Human gammaherpesvirus 4
HG01071#1#h1tg000234l	65792	Human gammaherpesvirus 4
HG01071#1#h1tg000239l	58368	Human gammaherpesvirus 4
HG01071#1#h1tg000261l	42980	Human gammaherpesvirus 4
HG01071#1#h1tg000284l	43512	Human gammaherpesvirus 4
HG01071#1#h1tg000287l	52266	Human gammaherpesvirus 4
HG01071#1#h1tg000288l	56274	Human gammaherpesvirus 4
HG01071#1#h1tg000295l	61343	Human gammaherpesvirus 4
HG01071#1#h1tg000299l	48877	Human gammaherpesvirus 4
HG01071#1#h1tg000301l	57131	Human gammaherpesvirus 4
HG01071#1#h1tg000304l	63238	Human gammaherpesvirus 4
HG01071#1#h1tg000308l	56903	Human gammaherpesvirus 4
HG01071#1#h1tg000310l	56737	Human gammaherpesvirus 4
HG01071#1#h1tg000311l	78601	Human gammaherpesvirus 4
HG01071#1#h1tg000317l	64139	Human gammaherpesvirus 4
HG01071#1#h1tg000318l	53830	Human gammaherpesvirus 4
HG01071#1#h1tg000322l	77739	Human gammaherpesvirus 4
HG01071#1#h1tg000323l	44308	Human gammaherpesvirus 4
