contig_id	genbank_id	source
NA19240#1#h1tg000498l	JAHEOM010000408	EBV
HG02145#1#h1tg000541l	JAHKSG010000482	EBV?
HG02145#1#h1tg000638l	JAHKSG010000550	EBV?
HG02145#1#h1tg000631l	JAHKSG010000546	EBV?
HG02145#1#h1tg000507l	JAHKSG010000459	EBV?
HG02145#1#h1tg000514l	JAHKSG010000463	EBV?
HG02145#1#h1tg000553l	JAHKSG010000493	EBV?
HG02145#1#h1tg000559l	JAHKSG010000499	EBV?
HG02145#1#h1tg000964l	JAHKSG010000750	EBV?
HG02145#1#h1tg000690l	JAHKSG010000584	EBV?
HG02145#1#h1tg000933l	JAHKSG010000727	EBV?
HG02145#1#h1tg000868l	JAHKSG010000690	EBV?
HG02145#1#h1tg000822l	JAHKSG010000658	EBV?
HG02145#1#h1tg000533l	JAHKSG010000476	EBV?
HG02145#1#h1tg000695l	JAHKSG010000589	EBV?
HG02145#1#h1tg000339l	JAHKSG010000327	EBV?
HG02145#1#h1tg000849l	JAHKSG010000677	EBV?
HG02145#1#h1tg000532l	JAHKSG010000475	EBV?
HG02145#1#h1tg000403l	JAHKSG010000382	EBV?
HG02145#1#h1tg000463l	JAHKSG010000426	EBV?
HG02145#1#h1tg000689l	JAHKSG010000583	EBV?
HG02145#1#h1tg000957l	JAHKSG010000744	EBV?
HG02145#1#h1tg000547l	JAHKSG010000488	EBV?
HG02145#1#h1tg000679l	JAHKSG010000576	EBV?
HG02145#1#h1tg000893l	JAHKSG010000703	EBV?
HG02145#1#h1tg000557l	JAHKSG010000497	EBV?
HG02145#1#h1tg001046l	JAHKSG010000804	EBV?
HG02145#1#h1tg000751l	JAHKSG010000615	EBV?
HG02145#1#h1tg000555l	JAHKSG010000495	EBV?
HG02145#1#h1tg000414l	JAHKSG010000390	EBV?
HG02145#1#h1tg000744l	JAHKSG010000613	EBV?
HG02145#1#h1tg000601l	JAHKSG010000523	EBV?
HG02145#1#h1tg000642l	JAHKSG010000554	EBV?
HG02145#1#h1tg000903l	JAHKSG010000708	EBV?
HG02145#1#h1tg000466l	JAHKSG010000429	EBV?
HG02145#1#h1tg000542l	JAHKSG010000483	EBV?
HG02145#1#h1tg000687l	JAHKSG010000582	EBV?
HG02145#1#h1tg000711l	JAHKSG010000595	EBV?
HG02145#1#h1tg000919l	JAHKSG010000718	EBV?
HG02145#1#h1tg000304l	JAHKSG010000299	EBV?
HG02145#1#h1tg000708l	JAHKSG010000593	EBV?
HG02145#1#h1tg001034l	JAHKSG010000797	EBV?
HG02145#1#h1tg000472l	JAHKSG010000434	EBV?
HG02145#1#h1tg000680l	JAHKSG010000577	EBV?
HG02145#1#h1tg000394l	JAHKSG010000374	EBV?
HG02145#1#h1tg000387l	JAHKSG010000370	EBV?
HG02145#1#h1tg000260l	JAHKSG010000257	EBV?
HG02145#1#h1tg000737l	JAHKSG010000608	EBV?
HG02145#1#h1tg001017l	JAHKSG010000787	EBV?
HG02145#1#h1tg000544l	JAHKSG010000485	EBV?
HG02145#1#h1tg000648l	JAHKSG010000560	EBV?
HG02145#1#h1tg000685l	JAHKSG010000580	EBV?
HG02145#1#h1tg000607l	JAHKSG010000528	EBV?
HG02145#1#h1tg000391l	JAHKSG010000372	EBV?
HG02145#1#h1tg000945l	JAHKSG010000736	EBV?
HG02145#1#h1tg000861l	JAHKSG010000686	EBV?
HG02145#1#h1tg000646l	JAHKSG010000558	EBV?
HG02145#1#h1tg000550l	JAHKSG010000491	EBV?
HG02145#1#h1tg000625l	JAHKSG010000541	EBV?
HG02145#1#h1tg000974l	JAHKSG010000758	EBV?
HG02145#1#h1tg000694l	JAHKSG010000588	EBV?
HG02145#1#h1tg000963l	JAHKSG010000749	EBV?
HG02145#1#h1tg000734l	JAHKSG010000606	EBV?
HG02145#1#h1tg000920l	JAHKSG010000719	EBV?
HG02145#1#h1tg000905l	JAHKSG010000709	EBV?
HG02145#1#h1tg000377l	JAHKSG010000362	EBV?
HG02145#1#h1tg000498l	JAHKSG010000453	EBV?
HG02145#1#h1tg000700l	JAHKSG010000590	EBV?
HG02145#1#h1tg000634l	JAHKSG010000548	EBV?
HG02145#1#h1tg000980l	JAHKSG010000761	EBV?
HG02145#1#h1tg000767l	JAHKSG010000627	EBV?
HG02145#1#h1tg001012l	JAHKSG010000783	EBV?
HG02145#1#h1tg000857l	JAHKSG010000683	EBV?
HG02145#1#h1tg000925l	JAHKSG010000721	EBV?
HG02145#1#h1tg000979l	JAHKSG010000760	EBV?
HG02145#1#h1tg000423l	JAHKSG010000396	EBV?
HG02145#1#h1tg000396l	JAHKSG010000376	EBV?
HG02145#1#h1tg000729l	JAHKSG010000603	EBV?
HG02145#1#h1tg000848l	JAHKSG010000676	EBV?
HG02145#1#h1tg000398l	JAHKSG010000378	EBV?
HG02145#1#h1tg000401l	JAHKSG010000381	EBV?
HG02145#1#h1tg000673l	JAHKSG010000575	EBV?
HG02145#1#h1tg000777l	JAHKSG010000631	EBV?
HG02145#1#h1tg000484l	JAHKSG010000444	EBV?
HG02145#1#h1tg000202l	JAHKSG010000200	EBV?
HG02145#1#h1tg000860l	JAHKSG010000685	EBV?
HG02145#1#h1tg000890l	JAHKSG010000702	EBV?
HG02145#1#h1tg000914l	JAHKSG010000715	EBV?
HG02145#1#h1tg000640l	JAHKSG010000552	EBV?
HG02145#1#h1tg000876l	JAHKSG010000694	EBV?
HG02145#1#h1tg000435l	JAHKSG010000404	EBV?
HG02145#1#h1tg000851l	JAHKSG010000679	EBV?
HG02145#1#h1tg000927l	JAHKSG010000722	EBV?
HG02145#1#h1tg000341l	JAHKSG010000329	EBV?
HG02145#1#h1tg000912l	JAHKSG010000713	EBV?
HG02145#1#h1tg000928l	JAHKSG010000723	EBV?
HG02145#1#h1tg000775l	JAHKSG010000629	EBV?
HG02145#1#h1tg000362l	JAHKSG010000348	EBV?
HG02145#1#h1tg000669l	JAHKSG010000572	EBV?
HG02145#1#h1tg000434l	JAHKSG010000403	EBV?
HG02145#1#h1tg000884l	JAHKSG010000700	EBV?
HG02145#1#h1tg000995l	JAHKSG010000773	EBV?
HG02145#1#h1tg000237l	JAHKSG010000234	EBV?
HG02145#1#h1tg001040l	JAHKSG010000799	EBV?
HG02145#1#h1tg000429l	JAHKSG010000401	EBV?
HG02145#1#h1tg000936l	JAHKSG010000729	EBV?
HG02145#1#h1tg000757l	JAHKSG010000619	EBV?
HG02145#1#h1tg000946l	JAHKSG010000737	EBV?
HG02145#1#h1tg000821l	JAHKSG010000657	EBV?
HG02145#1#h1tg000376l	JAHKSG010000361	EBV?
HG02145#1#h1tg000842l	JAHKSG010000672	EBV?
HG02145#1#h1tg000971l	JAHKSG010000756	EBV?
HG02145#1#h1tg000828l	JAHKSG010000661	EBV?
HG02145#1#h1tg000881l	JAHKSG010000697	EBV?
HG02145#1#h1tg000989l	JAHKSG010000768	EBV?
HG02145#1#h1tg000836l	JAHKSG010000667	EBV?
HG02145#1#h1tg000693l	JAHKSG010000587	EBV?
HG02145#1#h1tg000619l	JAHKSG010000536	EBV?
HG02145#1#h1tg000942l	JAHKSG010000734	EBV?
HG02145#1#h1tg000520l	JAHKSG010000467	EBV?
HG02145#1#h1tg000496l	JAHKSG010000451	EBV?
HG02145#1#h1tg000923l	JAHKSG010000720	EBV?
HG02145#1#h1tg000659l	JAHKSG010000568	EBV?
HG02145#1#h1tg000725l	JAHKSG010000601	EBV?
HG02145#1#h1tg000750l	JAHKSG010000614	EBV?
HG02145#1#h1tg000465l	JAHKSG010000428	EBV?
HG02145#1#h1tg000240l	JAHKSG010000237	EBV?
HG02145#1#h1tg000740l	JAHKSG010000610	EBV?
HG02145#1#h1tg000952l	JAHKSG010000742	EBV?
HG02145#1#h1tg000811l	JAHKSG010000650	EBV?
HG02145#1#h1tg000951l	JAHKSG010000741	EBV?
HG02145#1#h1tg000610l	JAHKSG010000530	EBV?
HG02145#1#h1tg000554l	JAHKSG010000494	EBV?
HG02145#1#h1tg000686l	JAHKSG010000581	EBV?
HG02145#1#h1tg000819l	JAHKSG010000655	EBV?
HG02145#1#h1tg000450l	JAHKSG010000416	EBV?
HG02145#1#h1tg000385l	JAHKSG010000369	EBV?
HG02145#1#h1tg000872l	JAHKSG010000692	EBV?
HG02145#1#h1tg000768l	JAHKSG010000628	EBV?
HG02145#1#h1tg000939l	JAHKSG010000732	EBV?
HG02145#1#h1tg000917l	JAHKSG010000717	EBV?
HG02145#1#h1tg000593l	JAHKSG010000518	EBV?
HG02145#1#h1tg000360l	JAHKSG010000346	EBV?
HG02145#1#h1tg000652l	JAHKSG010000563	EBV?
HG02145#1#h1tg000473l	JAHKSG010000435	EBV?
HG02145#1#h1tg000835l	JAHKSG010000666	EBV?
HG02145#1#h1tg000468l	JAHKSG010000430	EBV?
HG02145#1#h1tg000950l	JAHKSG010000740	EBV?
HG02145#1#h1tg000470l	JAHKSG010000432	EBV?
HG02145#1#h1tg000373l	JAHKSG010000358	EBV?
HG02145#1#h1tg000806l	JAHKSG010000649	EBV?
HG02145#1#h1tg000911l	JAHKSG010000712	EBV?
HG02145#1#h1tg000565l	JAHKSG010000504	EBV?
HG02145#1#h1tg000567l	JAHKSG010000505	EBV?
HG02145#1#h1tg000895l	JAHKSG010000704	EBV?
HG02145#1#h1tg001056l	JAHKSG010000812	EBV?
HG02145#1#h1tg000662l	JAHKSG010000570	EBV?
HG02145#1#h1tg000889l	JAHKSG010000701	EBV?
HG02145#1#h1tg000996l	JAHKSG010000774	EBV?
HG02145#1#h1tg001008l	JAHKSG010000779	EBV?
HG02145#1#h1tg000361l	JAHKSG010000347	EBV?
HG02145#1#h1tg000882l	JAHKSG010000698	EBV?
HG02145#1#h1tg001014l	JAHKSG010000784	EBV?
HG02145#1#h1tg000703l	JAHKSG010000592	EBV?
HG02145#1#h1tg000793l	JAHKSG010000640	EBV?
HG02145#1#h1tg000873l	JAHKSG010000693	EBV?
HG02145#1#h1tg000988l	JAHKSG010000767	EBV?
HG02145#1#h1tg000664l	JAHKSG010000571	EBV?
HG02145#1#h1tg000817l	JAHKSG010000654	EBV?
HG02145#1#h1tg000820l	JAHKSG010000656	EBV?
HG02145#1#h1tg000374l	JAHKSG010000359	EBV?
HG02145#1#h1tg000959l	JAHKSG010000746	EBV?
HG02145#1#h1tg000941l	JAHKSG010000733	EBV?
HG02145#1#h1tg000973l	JAHKSG010000757	EBV?
HG02145#1#h1tg000615l	JAHKSG010000534	EBV?
HG02145#1#h1tg000497l	JAHKSG010000452	EBV?
HG02145#1#h1tg000543l	JAHKSG010000484	EBV?
HG02145#1#h1tg000330l	JAHKSG010000319	EBV?
HG02145#1#h1tg000824l	JAHKSG010000659	EBV?
HG02145#1#h1tg000584l	JAHKSG010000512	EBV?
HG02145#1#h1tg000858l	JAHKSG010000684	EBV?
HG02145#1#h1tg001007l	JAHKSG010000778	EBV?
HG02145#1#h1tg000994l	JAHKSG010000772	EBV?
HG02145#1#h1tg001061l	JAHKSG010000816	EBV?
HG02145#1#h1tg000519l	JAHKSG010000466	EBV?
HG02145#1#h1tg001062l	JAHKSG010000817	EBV?
HG02145#1#h1tg000944l	JAHKSG010000735	EBV?
HG02145#1#h1tg000469l	JAHKSG010000431	EBV?
